patterns,response,tags
painful loss swollen glands appetite salivary fever fatigue headache,['You are most likely suffering from mumps'],disease25
appetite painful headache salivary fever loss glands fatigue swollen,['You are most likely suffering from mumps'],disease25
loss headache glands fatigue salivary fever swollen painful appetite,['You are most likely suffering from mumps'],disease25
loss glands painful salivary swollen headache fatigue appetite fever,['You are most likely suffering from mumps'],disease25
cough conjunctivitis runny fever high nose dry,['You are most likely suffering from measles'],disease26
runny conjunctivitis high dry cough nose fever,['You are most likely suffering from measles'],disease26
cough fever high nose dry runny conjunctivitis,['You are most likely suffering from measles'],disease26
muscle dry difficulty swallowing vision weakness drooping double mouth blurred vision eyelids,['You are most likely suffering from botulism'],disease27
double drooping weakness muscle dry swallowing mouth blurred eyelids vision difficulty vision,['You are most likely suffering from botulism'],disease27
vision mouth weakness drooping eyelids vision difficulty swallowing blurred double dry muscle,['You are most likely suffering from botulism'],disease27
vision drooping difficulty muscle double swallowing mouth blurred dry eyelids vision weakness,['You are most likely suffering from botulism'],disease27
rapid deterioration mental,['You are most likely suffering from mad cow disease'],disease28
mental rapid deterioration,['You are most likely suffering from mad cow disease'],disease28
neck irritability sudden stiff loss headache memory back loss weakness muscle vomiting seizures of po confusion consciousness fever responsiveness drowsiness,['You are most likely suffering from meningetis'],disease29
confusion of memory responsiveness fever loss consciousness sudden loss muscle back headache po irritability drowsiness seizures stiff weakness neck vomiting,['You are most likely suffering from meningetis'],disease29
loss loss weakness seizures confusion po sudden stiff irritability vomiting memory fever of responsiveness neck consciousness headache muscle back drowsiness,['You are most likely suffering from meningetis'],disease29
vomiting muscle back memory fever loss confusion of drowsiness po loss sudden seizures headache responsiveness weakness irritability consciousness neck stiff,['You are most likely suffering from meningetis'],disease29
of loss irritability muscle vomiting loss memory seizures stiff responsiveness consciousness headache fever confusion back weakness neck po drowsiness sudden,['You are most likely suffering from meningetis'],disease29
fever drowsiness sudden vomiting headache confusion weakness consciousness seizures back irritability of po loss muscle stiff loss memory responsiveness neck,['You are most likely suffering from meningetis'],disease29
upper nausea vomiting pain abdominal abdominal distention,['You are most likely suffering from indigestion'],disease30
vomiting pain upper abdominal distention nausea abdominal,['You are most likely suffering from indigestion'],disease30
pain nausea upper vomiting distention abdominal abdominal,['You are most likely suffering from indigestion'],disease30
distention upper abdominal abdominal nausea vomiting pain,['You are most likely suffering from indigestion'],disease30
Less bleeding diarrhea fissures prolapse Lower rectal movements Anal abdominal bowel discomfort,['You are most likely suffering from constipation'],disease31
diarrhea Anal bowel rectal Less prolapse movements fissures Lower discomfort abdominal bleeding,['You are most likely suffering from constipation'],disease31
prolapse discomfort Anal abdominal Less rectal fissures Lower bowel bleeding diarrhea movements,['You are most likely suffering from constipation'],disease31
prolapse fissures abdominal movements Less bowel bleeding discomfort Lower diarrhea Anal rectal,['You are most likely suffering from constipation'],disease31
Lower rectal fissures Anal bleeding abdominal bowel diarrhea movements prolapse Less discomfort,['You are most likely suffering from constipation'],disease31
fissures bowel diarrhea rectal Anal abdominal movements bleeding prolapse discomfort Lower Less,['You are most likely suffering from constipation'],disease31
appetite tenderness nausea of pain abdominal fever vomiting loss abdominal,['You are most likely suffering from appendicitis'],disease32
fever of pain vomiting tenderness abdominal nausea loss appetite abdominal,['You are most likely suffering from appendicitis'],disease32
tenderness pain of nausea vomiting fever abdominal abdominal appetite loss,['You are most likely suffering from appendicitis'],disease32
nausea abdominal loss fever pain appetite tenderness of abdominal vomiting,['You are most likely suffering from appendicitis'],disease32
may fatigue trouble problems sleep irritabilityheadaches attention concentrating restlessness problems as that appear also memory,['You are most likely suffering from Anxiety Disorder'],disease33
problems that concentrating fatigue sleep may memory appear restlessness also as trouble problems attention irritabilityheadaches,['You are most likely suffering from Anxiety Disorder'],disease33
also fatigue concentrating as trouble restlessness may attention sleep memory problems that appear problems irritabilityheadaches,['You are most likely suffering from Anxiety Disorder'],disease33
also as sleep problems memory that fatigue appear trouble concentrating may problems irritabilityheadaches attention restlessness,['You are most likely suffering from Anxiety Disorder'],disease33
problems memory irritabilityheadaches sleep also may problems concentrating that restlessness appear as fatigue trouble attention,['You are most likely suffering from Anxiety Disorder'],disease33
Weight loss Diarrhea pain diarrhea Vomiting Bloody Fever Abdominal,"[""You are most likely suffering from crohn's disease""]",disease34
Bloody Vomiting loss Abdominal Fever Weight diarrhea pain Diarrhea,"[""You are most likely suffering from crohn's disease""]",disease34
pain Bloody loss Diarrhea diarrhea Abdominal Vomiting Weight Fever,"[""You are most likely suffering from crohn's disease""]",disease34
Diarrhea loss Abdominal diarrhea Bloody Fever Weight pain Vomiting,"[""You are most likely suffering from crohn's disease""]",disease34
Sleep droopy double paralysis daytime hallucinations vision eyelids Excessive sleepiness,['You are most likely suffering from narcolepsy'],disease35
double droopy paralysis Excessive Sleep sleepiness daytime vision hallucinations eyelids,['You are most likely suffering from narcolepsy'],disease35
eyelids Sleep droopy double sleepiness Excessive hallucinations paralysis vision daytime,['You are most likely suffering from narcolepsy'],disease35
eyelids sleepiness hallucinations paralysis Sleep vision Excessive double daytime droopy,['You are most likely suffering from narcolepsy'],disease35
paralysis hallucinations Excessive double vision droopy daytime eyelids sleepiness Sleep,['You are most likely suffering from narcolepsy'],disease35
urine blood kidney in in tract urinary infections pain tractU painstones the rinary the,['You are most likely suffering from cystinuria'],disease36
blood urine rinary urinary painstones the the kidney infections tract tractU pain in in,['You are most likely suffering from cystinuria'],disease36
the rinary kidney infections blood in urinary urine tract painstones the in pain tractU,['You are most likely suffering from cystinuria'],disease36
blood tract in urine kidney infections in pain the the urinary tractU painstones rinary,['You are most likely suffering from cystinuria'],disease36
in infections urine in tract pain tractU painstones blood kidney the the rinary urinary,['You are most likely suffering from cystinuria'],disease36
infections in tract urinary blood kidney in the tractU rinary painstones urine the pain,['You are most likely suffering from cystinuria'],disease36
urinating back pain pain pain Blood Groin low pain rectal Fever abdominal,['You are most likely suffering from prostatitis'],disease37
pain Fever low pain rectal abdominal Blood Groin pain back urinating pain,['You are most likely suffering from prostatitis'],disease37
Fever rectal pain pain low pain back urinating Groin pain Blood abdominal,['You are most likely suffering from prostatitis'],disease37
Groin back Blood pain pain Fever pain pain urinating rectal low abdominal,['You are most likely suffering from prostatitis'],disease37
to fullness pressure heaviness that the goes of shortness breath chest pain arm tightness sweating ache,['You are most likely suffering from Angina'],disease38
ache goes heaviness chest shortness pressure pain tightness sweating of the that breath fullness arm to,['You are most likely suffering from Angina'],disease38
pain the tightness of breath chest that goes sweating pressure ache shortness arm fullness to heaviness,['You are most likely suffering from Angina'],disease38
tightness goes heaviness that ache fullness of arm pain chest sweating to breath the pressure shortness,['You are most likely suffering from Angina'],disease38
tightness shortness breath that goes to of pressure sweating the pain arm fullness chest ache heaviness,['You are most likely suffering from Angina'],disease38
coma aches skin headache paralysis fever sleepiness stiff disorientation convulsions neck body tremors rash,['You are most likely suffering from west nile virus'],disease39
coma convulsions body rash skin paralysis stiff disorientation sleepiness fever tremors neck aches headache,['You are most likely suffering from west nile virus'],disease39
headache disorientation tremors paralysis coma skin sleepiness stiff neck rash fever body convulsions aches,['You are most likely suffering from west nile virus'],disease39
aches sleepiness stiff tremors skin fever disorientation body paralysis neck convulsions rash headache coma,['You are most likely suffering from west nile virus'],disease39
stiff paralysis sleepiness fever rash disorientation skin coma aches convulsions headache tremors neck body,['You are most likely suffering from west nile virus'],disease39
pressure blood fevers chills pus swollen red low high,['You are most likely suffering from Staph Infection'],disease40
low red swollen fevers pus high pressure chills blood,['You are most likely suffering from Staph Infection'],disease40
low swollen chills red pus high pressure blood fevers,['You are most likely suffering from Staph Infection'],disease40
red fevers blood pus low chills high swollen pressure,['You are most likely suffering from Staph Infection'],disease40
vision blurred,['You are most likely suffering from Macular Degeneration(Age-Related Type)'],disease41
Flashing lights floaters,['You are most likely suffering from Retinal detachment'],disease42
lights floaters Flashing,['You are most likely suffering from Retinal detachment'],disease42
vision of haziness blurriness,['You are most likely suffering from Glaucoma'],disease43
blurriness haziness vision of,['You are most likely suffering from Glaucoma'],disease43
cancer the periods pelvic heavy womb uterus ovaries the of pain cervix of prolapse,['You are most likely suffering from hysterectomy'],disease44
the ovaries uterus cancer the pelvic heavy of cervix prolapse periods pain of womb,['You are most likely suffering from hysterectomy'],disease44
of ovaries of heavy uterus prolapse cervix cancer pelvic the pain the periods womb,['You are most likely suffering from hysterectomy'],disease44
that is typically odorless vaginal a discharge thick,['You are most likely suffering from yeast infection'],disease45
thick vaginal a that discharge is typically odorless,['You are most likely suffering from yeast infection'],disease45
upset easily irritable withdrawal Sleep worsen depression underweight social disrupted,['You are most likely suffering from anorexia'],disease46
social depression irritable easily upset worsen disrupted Sleep withdrawal underweight,['You are most likely suffering from anorexia'],disease46
worsen withdrawal upset depression underweight Sleep irritable social easily disrupted,['You are most likely suffering from anorexia'],disease46
discomfort of chest wheezing breath shortness cough,['You are most likely suffering from chronic obstructive pulmonary disease'],disease47
wheezing cough chest breath discomfort of shortness,['You are most likely suffering from chronic obstructive pulmonary disease'],disease47
wheezing shortness cough chest breath discomfort of,['You are most likely suffering from chronic obstructive pulmonary disease'],disease47
shortness wheezing breath of,['You are most likely suffering from emphysema'],disease48
breath shortness of wheezing,['You are most likely suffering from emphysema'],disease48
of shortness breath wheezing,['You are most likely suffering from emphysema'],disease48
area from infection areas grows of which hair skin tiny of,['You are most likely suffering from boils'],disease49
skin grows hair infection of areas which tiny area of from,['You are most likely suffering from boils'],disease49
infection grows tiny area hair skin areas which of from of,['You are most likely suffering from boils'],disease49
hair of of areas grows area skin tiny from which infection,['You are most likely suffering from boils'],disease49
shaped in col look red from pink shiny ranging raised to dome,['You are most likely suffering from keloid scar'],disease50
in to ranging col raised look pink red shaped dome from shiny,['You are most likely suffering from keloid scar'],disease50
red look in ranging shaped col dome to shiny pink from raised,['You are most likely suffering from keloid scar'],disease50
ranging dome shaped from red in shiny pink look col raised to,['You are most likely suffering from keloid scar'],disease50
pink look to ranging raised from col red dome shaped shiny in,['You are most likely suffering from keloid scar'],disease50
small flushing cysts facial the of blushing tissue redness acial skin thickening,['You are most likely suffering from rosacea'],disease51
acial small facial redness flushing thickening blushing of tissue the cysts skin,['You are most likely suffering from rosacea'],disease51
small thickening flushing skin of redness facial blushing tissue the acial cysts,['You are most likely suffering from rosacea'],disease51
thickening redness acial small tissue skin cysts the of flushing facial blushing,['You are most likely suffering from rosacea'],disease51
skin blushing the small acial thickening redness cysts tissue flushing facial of,['You are most likely suffering from rosacea'],disease51
blistering fever aches fluid body pain rash nausea stinging stabbing burning chills itching tingling rash one filled sided headache red sensation,['You are most likely suffering from shingles(herpes zoster)'],disease52
rash chills headache stinging fever blistering filled pain red aches body itching stabbing sided sensation burning one tingling nausea rash fluid,['You are most likely suffering from shingles(herpes zoster)'],disease52
headache burning stabbing body aches pain fever rash sided chills tingling filled stinging itching red nausea blistering one fluid rash sensation,['You are most likely suffering from shingles(herpes zoster)'],disease52
tingling one chills blistering nausea sided headache filled sensation fluid rash burning body stabbing itching fever rash stinging pain red aches,['You are most likely suffering from shingles(herpes zoster)'],disease52
fluid chills stinging body itching tingling filled burning sided rash aches nausea rash one blistering pain fever headache red sensation stabbing,['You are most likely suffering from shingles(herpes zoster)'],disease52
body stinging rash tingling pain stabbing fluid one rash itching chills nausea blistering red aches sided fever burning filled headache sensation,['You are most likely suffering from shingles(herpes zoster)'],disease52
scaly head forehead plaques Reddish,['You are most likely suffering from dandruff'],disease53
plaques forehead scaly head Reddish,['You are most likely suffering from dandruff'],disease53
scaly plaques forehead head Reddish,['You are most likely suffering from dandruff'],disease53
uninflamed pus filled pimples blackheads t,['You are most likely suffering from acne'],disease54
t pimples filled blackheads uninflamed pus,['You are most likely suffering from acne'],disease54
blackheads pimples pus t uninflamed filled,['You are most likely suffering from acne'],disease54
growth skin painless fleshy the on,['You are most likely suffering from common wart'],disease55
skin fleshy growth painless on the,['You are most likely suffering from common wart'],disease55
fleshy skin painless on the growth,['You are most likely suffering from common wart'],disease55
tightness swelling pain tenderness redness hardening skin itching,['You are most likely suffering from Scleroderma'],disease56
redness skin tightness swelling hardening tenderness pain itching,['You are most likely suffering from Scleroderma'],disease56
redness tightness tenderness itching pain swelling hardening skin,['You are most likely suffering from Scleroderma'],disease56
big sever violet a mild colour angular bumps borders itching,['You are most likely suffering from Lichen planus'],disease57
bumps big itching sever colour borders angular mild violet a,['You are most likely suffering from Lichen planus'],disease57
big angular bumps a sever itching borders mild colour violet,['You are most likely suffering from Lichen planus'],disease57
itching colour big bumps borders mild a violet angular sever,['You are most likely suffering from Lichen planus'],disease57
forgetfulness simple old age,['You are most likely suffering from Dementia'],disease58
old age simple forgetfulness,['You are most likely suffering from Dementia'],disease58
simple forgetfulness age old,['You are most likely suffering from Dementia'],disease58
flare itch swell welts,['You are most likely suffering from hives'],disease59
pain abdominal teeth vomiting skin discolored glands throat deteriorating constipation salivary dehydration swollen dry sore,['You are most likely suffering from bulimia nervosa'],disease60
dry glands teeth skin abdominal constipation sore dehydration deteriorating vomiting salivary pain throat discolored swollen,['You are most likely suffering from bulimia nervosa'],disease60
teeth skin dehydration deteriorating swollen constipation abdominal vomiting glands salivary pain sore throat dry discolored,['You are most likely suffering from bulimia nervosa'],disease60
dry throat dehydration salivary swollen deteriorating abdominal pain sore skin teeth vomiting glands constipation discolored,['You are most likely suffering from bulimia nervosa'],disease60
skin vomiting throat salivary glands pain swollen constipation discolored dehydration dry teeth abdominal deteriorating sore,['You are most likely suffering from bulimia nervosa'],disease60
sex Penile of penis completion occurs f hard erection enough,['You are most likely suffering from erectile dysfunction'],disease61
penis sex erection enough hard Penile f completion occurs of,['You are most likely suffering from erectile dysfunction'],disease61
penis Penile of enough erection f hard sex completion occurs,['You are most likely suffering from erectile dysfunction'],disease61
urgently flow tract of of need blockage urinate the urine urinary to infections slow urethra,['You are most likely suffering from Enlarged Prostate Gland'],disease62
of the urinary flow to slow urgently need urinate of blockage urethra tract infections urine,['You are most likely suffering from Enlarged Prostate Gland'],disease62
urine of of urethra need infections to slow urgently urinate urinary flow the blockage tract,['You are most likely suffering from Enlarged Prostate Gland'],disease62
of slow flow urgently need tract to infections urinate urinary urine blockage of the urethra,['You are most likely suffering from Enlarged Prostate Gland'],disease62
tract blockage of urinary urine slow need flow urinate infections the to urgently urethra of,['You are most likely suffering from Enlarged Prostate Gland'],disease62
Hopelessness Lack Fatigue appetite other excessive decisions of making of physical Loss concentration hunger Insomnia symptomsinadequacy,['You are most likely suffering from Dysthymia (Persistent Depressive Disorder)'],disease63
Insomnia Lack hunger making Hopelessness Loss appetite other of decisions Fatigue of physical excessive concentration symptomsinadequacy,['You are most likely suffering from Dysthymia (Persistent Depressive Disorder)'],disease63
symptomsinadequacy Insomnia Lack decisions appetite making of physical other Loss hunger of concentration excessive Fatigue Hopelessness,['You are most likely suffering from Dysthymia (Persistent Depressive Disorder)'],disease63
decisions symptomsinadequacy Lack other excessive appetite concentration of Hopelessness physical of Loss hunger Fatigue Insomnia making,['You are most likely suffering from Dysthymia (Persistent Depressive Disorder)'],disease63
stomach lightheadedness racing nausea pounding hyperventilation difficulty chest breathing upset dizziness heartbeat pains,['You are most likely suffering from panic attack'],disease64
pains heartbeat lightheadedness stomach difficulty chest nausea pounding upset racing breathing dizziness hyperventilation,['You are most likely suffering from panic attack'],disease64
chest difficulty pounding racing pains hyperventilation heartbeat dizziness upset nausea breathing lightheadedness stomach,['You are most likely suffering from panic attack'],disease64
racing pounding difficulty pains hyperventilation heartbeat chest dizziness lightheadedness stomach nausea breathing upset,['You are most likely suffering from panic attack'],disease64
sleep racing speech f elevated thoughts irritable pressured expansive mood need decreased,['You are most likely suffering from bipolar disorder'],disease65
f mood need speech thoughts elevated pressured sleep expansive decreased racing irritable,['You are most likely suffering from bipolar disorder'],disease65
thoughts pressured elevated racing need mood irritable f expansive decreased speech sleep,['You are most likely suffering from bipolar disorder'],disease65
need thoughts f mood racing expansive decreased speech sleep pressured elevated irritable,['You are most likely suffering from bipolar disorder'],disease65
abdominal pain swelling abdominal upper lower chest pain belching distention discomfort,['You are most likely suffering from Indigestion(Dyspepsia)'],disease66
abdominal pain pain belching abdominal lower discomfort upper swelling distention chest,['You are most likely suffering from Indigestion(Dyspepsia)'],disease66
abdominal pain chest pain distention swelling belching lower upper abdominal discomfort,['You are most likely suffering from Indigestion(Dyspepsia)'],disease66
pain distention lower belching upper swelling discomfort abdominal abdominal pain chest,['You are most likely suffering from Indigestion(Dyspepsia)'],disease66
vomiting pale with skin along production headache Nausea dizziness saliva fatigue increased,['You are most likely suffering from motion sickness'],disease67
pale Nausea along fatigue dizziness increased with skin production vomiting headache saliva,['You are most likely suffering from motion sickness'],disease67
with vomiting fatigue skin increased along Nausea dizziness pale production headache saliva,['You are most likely suffering from motion sickness'],disease67
confusion breath tired shortness becoming headache easily drowsiness of sleepiness fatigue,['You are most likely suffering from respiratory acidosis'],disease68
fatigue tired breath becoming sleepiness headache easily drowsiness confusion shortness of,['You are most likely suffering from respiratory acidosis'],disease68
becoming confusion tired sleepiness fatigue easily breath headache shortness of drowsiness,['You are most likely suffering from respiratory acidosis'],disease68
confusion tired drowsiness breath fatigue easily shortness becoming sleepiness of headache,['You are most likely suffering from respiratory acidosis'],disease68
lack jaundice shallow confusion breathing fatigue rapid sleepiness of headache appetite,['You are most likely suffering from metabolic acidosis'],disease69
fatigue lack sleepiness headache rapid shallow confusion appetite of jaundice breathing,['You are most likely suffering from metabolic acidosis'],disease69
breathing headache confusion appetite of shallow rapid jaundice sleepiness fatigue lack,['You are most likely suffering from metabolic acidosis'],disease69
headache sleepiness appetite lack breathing shallow of jaundice confusion fatigue rapid,['You are most likely suffering from metabolic acidosis'],disease69
discolored blood low skin headaches muscle general rapid weakness fever breathing fatigue pressure labored,['You are most likely suffering from acute respiratory distress syndrome'],disease70
fever fatigue labored pressure low rapid discolored weakness blood headaches skin muscle general breathing,['You are most likely suffering from acute respiratory distress syndrome'],disease70
pressure weakness low fever blood rapid skin fatigue breathing labored discolored muscle headaches general,['You are most likely suffering from acute respiratory distress syndrome'],disease70
discolored labored muscle general headaches breathing fever blood fatigue low skin pressure rapid weakness,['You are most likely suffering from acute respiratory distress syndrome'],disease70
breathing discolored weakness rapid low skin headaches fatigue pressure labored general muscle blood fever,['You are most likely suffering from acute respiratory distress syndrome'],disease70
discolored fatigue weakness pressure blood labored rapid fever muscle headaches low general skin breathing,['You are most likely suffering from acute respiratory distress syndrome'],disease70
decreased loss in darkening muscles blood sugar appetite in tiredness skin low irritability depression vomiting levels weakness weight col the nausea fatigue,"[""You are most likely suffering from Addison's disease""]",disease71
weakness levels sugar tiredness irritability weight muscles fatigue low in darkening appetite decreased blood nausea vomiting the in loss col depression skin,"[""You are most likely suffering from Addison's disease""]",disease71
nausea fatigue in irritability muscles in weight col skin sugar darkening weakness levels low tiredness appetite blood loss depression decreased vomiting the,"[""You are most likely suffering from Addison's disease""]",disease71
the darkening blood sugar vomiting fatigue irritability weakness skin decreased depression col appetite weight levels loss low nausea in in tiredness muscles,"[""You are most likely suffering from Addison's disease""]",disease71
depression in decreased irritability loss levels the sugar vomiting col nausea darkening in muscles weight weakness appetite skin fatigue blood low tiredness,"[""You are most likely suffering from Addison's disease""]",disease71
the sudden fear in high back belly restlessness fever confusion lower legs pain,['You are most likely suffering from Addisonian crisis'],disease72
restlessness sudden high legs fear in lower confusion fever pain back the belly,['You are most likely suffering from Addisonian crisis'],disease72
restlessness in legs fear back confusion lower fever belly sudden high pain the,['You are most likely suffering from Addisonian crisis'],disease72
physical during up breath of rapid breath swollen short heart legs lower waking of activity rate shortness,['You are most likely suffering from beriberi'],disease73
waking short legs swollen heart of of breath rapid rate during physical lower breath shortness activity up,['You are most likely suffering from beriberi'],disease73
shortness legs physical of swollen during of short heart activity breath rate breath rapid waking lower up,['You are most likely suffering from beriberi'],disease73
during of shortness short heart up of breath rapid breath waking physical lower rate swollen activity legs,['You are most likely suffering from beriberi'],disease73
feeling the hands legs in particularly of muscle in feet decreased loss lower function the pain,['You are most likely suffering from dry beriberi'],disease74
lower feeling function decreased the hands muscle in of legs particularly in pain feet the loss,['You are most likely suffering from dry beriberi'],disease74
feeling hands in the decreased muscle pain legs particularly in lower loss the of feet function,['You are most likely suffering from dry beriberi'],disease74
the the pain feeling decreased of lower in loss in particularly legs hands feet muscle function,['You are most likely suffering from dry beriberi'],disease74
loss eye rapid confusion movement memory double vision,['You are most likely suffering from thalamus  hypothalamus'],disease75
vision rapid memory confusion double loss movement eye,['You are most likely suffering from thalamus  hypothalamus'],disease75
double loss vision memory eye movement rapid confusion,['You are most likely suffering from thalamus  hypothalamus'],disease75
diarrhea muscle runny malaise sore nose aches throat difficulties cough fever respiratory headache,['You are most likely suffering from Bird Flu'],disease76
diarrhea sore runny respiratory fever aches difficulties cough muscle throat nose headache malaise,['You are most likely suffering from Bird Flu'],disease76
fever headache muscle cough sore difficulties respiratory diarrhea aches malaise runny nose throat,['You are most likely suffering from Bird Flu'],disease76
in swelling bones affected weight the bones loss pain fatigued easily broken,['You are most likely suffering from bone cancer'],disease77
fatigued loss broken bones pain in affected easily bones weight swelling the,['You are most likely suffering from bone cancer'],disease77
fatigued the weight broken easily loss affected swelling in bones bones pain,['You are most likely suffering from bone cancer'],disease77
ache to in bone leading pain affected bone dull severe the weakened,['You are most likely suffering from bone tumour'],disease78
severe bone pain to dull the affected ache leading bone in weakened,['You are most likely suffering from bone tumour'],disease78
leading the in to weakened ache bone affected pain bone severe dull,['You are most likely suffering from bone tumour'],disease78
shortness fast breathing appearance skinfatigue bluish breath wheezing cough the ribs of of,['You are most likely suffering from bronchiolitis'],disease79
bluish cough breathing shortness appearance of skinfatigue the ribs of breath fast wheezing,['You are most likely suffering from bronchiolitis'],disease79
ribs fast wheezing of bluish skinfatigue breath shortness of appearance breathing the cough,['You are most likely suffering from bronchiolitis'],disease79
cough bluish of ribs fast of wheezing breath the appearance skinfatigue shortness breathing,['You are most likely suffering from bronchiolitis'],disease79
Ringing Ears in,['You are most likely suffering from tinnitus'],disease80
Ears in Ringing,['You are most likely suffering from tinnitus'],disease80
sore spots neck a yellow that white jaw have tonsils difficulty a very swallowing stiff stomachaches throat headaches,['You are most likely suffering from tonsillitis'],disease81
headaches stomachaches that throat neck white spots sore stiff a very yellow swallowing difficulty tonsils have a jaw,['You are most likely suffering from tonsillitis'],disease81
neck yellow have swallowing difficulty jaw tonsils stiff spots throat that stomachaches a headaches sore white very a,['You are most likely suffering from tonsillitis'],disease81
sore yellow stomachaches headaches jaw white that difficulty very neck a tonsils swallowing a spots have throat stiff,['You are most likely suffering from tonsillitis'],disease81
ulcer swollen a fatigue ulcer near skin fever headaches the nodes lymph chills skin a,['You are most likely suffering from Tularemia'],disease82
skin near ulcer nodes ulcer lymph swollen a the headaches chills fatigue skin a fever,['You are most likely suffering from Tularemia'],disease82
ulcer headaches chills skin the ulcer swollen fatigue nodes skin near fever a a lymph,['You are most likely suffering from Tularemia'],disease82
near chills swollen ulcer fever ulcer nodes skin a fatigue headaches lymph skin a the,['You are most likely suffering from Tularemia'],disease82
appetite fatigue loss unexplained sweats night loss fever weight,['You are most likely suffering from tuberculosis'],disease83
appetite loss unexplained fever night weight fatigue loss sweats,['You are most likely suffering from tuberculosis'],disease83
fatigue appetite weight loss night sweats fever unexplained loss,['You are most likely suffering from tuberculosis'],disease83
unexplained fever fatigue sweats loss loss appetite weight night,['You are most likely suffering from tuberculosis'],disease83
pressure back rash fever pain muscle chest eye low blood severe severe headache high sensitivity,['You are most likely suffering from typhus'],disease84
severe severe pain pressure blood fever rash low muscle eye back chest sensitivity high headache,['You are most likely suffering from typhus'],disease84
fever headache pain severe eye high chest sensitivity severe blood muscle rash pressure low back,['You are most likely suffering from typhus'],disease84
pain sensitivity high severe back rash pressure muscle eye fever chest blood low headache severe,['You are most likely suffering from typhus'],disease84
weight clots loss pain lower loss blood depression back of appetite stomach abdominal,['You are most likely suffering from Pancreatic Cancer'],disease85
stomach appetite back loss pain depression abdominal blood of weight lower loss clots,['You are most likely suffering from Pancreatic Cancer'],disease85
abdominal depression back pain loss clots lower of weight stomach appetite blood loss,['You are most likely suffering from Pancreatic Cancer'],disease85
loss stomach abdominal blood of weight appetite depression loss back lower pain clots,['You are most likely suffering from Pancreatic Cancer'],disease85
loss pain of lower abdominal blood depression clots loss appetite weight back stomach,['You are most likely suffering from Pancreatic Cancer'],disease85
in vomiting pain depression kidney bone nausea lethargy muscles your stones fractures confusion,['You are most likely suffering from hyperparathyroidism'],disease86
in confusion pain lethargy stones depression muscles fractures your bone nausea vomiting kidney,['You are most likely suffering from hyperparathyroidism'],disease86
stones in lethargy depression muscles bone pain nausea vomiting kidney confusion your fractures,['You are most likely suffering from hyperparathyroidism'],disease86
pain kidney in bone stones vomiting your muscles fractures nausea confusion depression lethargy,['You are most likely suffering from hyperparathyroidism'],disease86
shape changes redness your texture the of nail blisters of nail pus filled detachment skin in color,['You are most likely suffering from paronychia'],disease87
nail color of in the filled of pus nail redness shape blisters skin detachment your texture changes,['You are most likely suffering from paronychia'],disease87
detachment the of skin of changes nail blisters texture nail shape redness pus your in color filled,['You are most likely suffering from paronychia'],disease87
the pus in shape changes of detachment color your texture of filled redness nail blisters nail skin,['You are most likely suffering from paronychia'],disease87
What is the incubation period of the corona virus disease?,,incubationcorona
Who is most at risk for the corona virus disease?,,corona
Is the corona virus disease the same as SARS?,,corona
What is a corona virus?,,corona
Can humans become infected with a novel corona virus of animal source?,,corona
What are the symptoms of someone infected with a corona virus?,,symptomscorona
Can corona viruse be transmitted from person to person?,,corona
Is there a vaccine for a novel corona virus?,,vaccine
Is there a treatment for a novel corona virus?,,treatmentcorona
What can I do to protect myself?,,protect
Are health workers at risk from a novel corona virus?,,workerrisk
What WHO recommendations for countries?,,WHO
Is My Child at Risk for corona virus (COVID-19)?,,riskcorona
What Should I Do if a Family Member Has Symptoms of corona virus (COVID-19)?,,symptomscorona
How Do Doctors Test People for corona virus (COVID-19)?,,testdoctor
Where Can I Get Updated Information on corona virus (COVID-19)?,,corona
What is COVID-19? What is SARS-CoV-2?,,covidSARS
Where do corona viruses come from?,,corona
Is this virus comparable to SARS or to the seasonal flu?,,SARS
What is the mode of transmission of corona virus?,,transmissioncorona
When is a person infectious?,,infectious
How severe is COVID-19 infection?  ,,infection
Are some people more at risk than others?,,risk
Are children also at risk of infection and what is their potential role in transmission of covid19?,,risktransmission
What is the risk of infection in pregnant women and neonates?,,riskpregnant
When should I be tested for COVID-19?,,testcovid
Where can I get tested?,,test
Do persons suffering from pollen allergy or allergies in general have a higher risk to develop severe disease when having COVID-19?,,allergycovid
How can we differentiate between hay fever/pollen allergy related respiratory symptoms and COVID-19 infection?,,allergycovid
Should people who suffer from pollen allergy self-isolate if they develop typical hay fever symptoms?,,allergysymptoms
How can I avoid getting infected?,,avoidinfecting
How can I avoid infecting others?,,avoidinfecting
What is physical distancing and why and how should I do it?,,distancing
 Are face masks effective in protecting against COVID-19?,,maskcovid
How long will it take to develop a vaccine?,,vaccine
Am I protected against COVID-19 if I had the influenza vaccine this year?,,covidinfluenza
What is the situation in Europe at the moment?,,europecovid
How prepared is Europe for COVID-19? ,,europecovid
What is the EU doing?,,EU
How many people have been infected in the EU/EEA?,,EU
How long will this outbreak last? When will we see the peak?,,peak
Should schools and day centres be closed?,,schools
What are the travel restrictions in the European Union?,,restriction
What precautions should I take if I need to travel?,,travel
What is the risk of infection when travelling by plane?,,travel
" Are people working in the supply chain including logistics, control services, retail, etc. at risk of getting COVID-19 by handling packages? What measures can be taken to reduce the risk of getting infected in this type of work setting?",,risk
What is the risk of COVID-19 infection from food products imported from affected areas?,,food
What is the risk of COVID-19 infection from animals or animal products imported from affected areas?,,animal
